datetime,open,high,low,close,volume,openinterest
2019-08-20,69.57,69.57,66.49,68.00,12257942,0
2019-08-21,67.46,70.71,66.33,68.99,9217942,0
2019-08-22,69.55,69.55,67.71,68.64,4294935,0
2019-08-23,68.26,68.99,67.23,67.59,4233357,0
2019-08-26,66.21,66.95,65.07,66.49,5558776,0
2019-08-27,66.50,68.09,65.28,66.10,6035795,0
2019-08-28,65.57,65.62,63.41,64.18,6235005,0
2019-08-29,64.19,65.14,63.80,64.27,4979266,0
2019-08-30,65.18,69.31,65.18,66.66,10415107,0
2019-09-02,65.78,69.18,65.59,67.69,7633773,0
2019-09-03,67.08,72.21,67.07,71.31,9145204,0
2019-09-04,70.83,74.88,69.10,73.84,10691250,0
2019-09-05,74.04,80.17,74.04,75.33,12359990,0
2019-09-06,75.96,76.54,72.41,74.00,9128913,0
2019-09-09,74.11,75.32,72.85,75.12,10483877,0
2019-09-10,75.35,75.38,71.93,72.66,8952590,0
2019-09-11,72.91,73.72,71.31,72.02,6100847,0
2019-09-12,72.75,72.84,70.66,72.37,4202930,0
2019-09-16,72.43,73.47,71.16,72.62,6047012,0
2019-09-17,72.23,73.04,70.31,70.66,5002628,0
2019-09-18,70.85,72.98,70.05,72.76,6734996,0
2019-09-19,72.98,74.53,72.18,74.52,7127334,0
2019-09-20,74.72,75.96,73.31,74.91,7622693,0
2019-09-23,74.33,74.53,72.62,73.63,5021047,0
2019-09-24,73.05,74.48,72.63,72.70,5468651,0
2019-09-25,72.40,74.16,68.48,69.39,9286293,0
2019-09-26,69.68,69.94,65.22,66.52,7275137,0
2019-09-27,66.46,68.00,65.54,66.87,4177312,0
2019-09-30,67.82,68.23,66.68,67.00,3798167,0
2019-10-08,67.00,67.07,65.21,65.34,5435156,0
2019-10-09,65.20,66.14,62.45,65.78,4752357,0
2019-10-10,65.91,67.81,65.78,67.55,4093811,0
2019-10-11,68.30,69.67,67.55,68.26,5405700,0
2019-10-14,69.45,69.65,67.85,68.52,3809270,0
2019-10-15,67.90,68.22,65.65,66.55,3778319,0
2019-10-16,67.32,67.65,66.20,66.72,2373418,0
2019-10-17,66.79,67.91,66.79,67.52,2159405,0
2019-10-18,67.37,67.97,65.65,66.08,2852596,0
2019-10-21,65.79,66.27,63.73,65.09,4022010,0
2019-10-22,65.68,68.09,65.65,67.98,4845555,0
2019-10-23,68.23,68.35,66.66,67.04,2907810,0
2019-10-24,67.68,67.68,65.53,66.50,2947988,0
2019-10-25,66.76,67.48,65.97,67.14,3738176,0
2019-10-28,64.15,67.14,62.61,66.88,11065872,0
2019-10-29,66.20,66.20,64.08,64.57,4436659,0
2019-10-30,64.57,65.33,63.25,64.06,2546878,0
2019-10-31,64.59,65.28,62.55,62.65,3422702,0
2019-11-01,62.70,64.41,61.96,63.85,2897732,0
2019-11-04,63.85,66.52,63.61,65.94,3930329,0
2019-11-05,64.92,67.37,64.80,67.01,2817058,0
2019-11-06,67.11,67.48,65.07,65.75,3666529,0
2019-11-07,65.82,66.07,64.91,65.41,2064201,0
2019-11-08,65.66,68.00,65.66,67.26,3842118,0
2019-11-11,66.58,67.35,65.91,66.44,1882013,0
2019-11-12,66.46,66.79,65.21,65.78,1879946,0
2019-11-13,65.37,66.20,63.66,64.24,2669977,0
2019-11-14,64.77,68.52,64.15,68.03,5052273,0
2019-11-15,68.22,68.84,66.91,67.21,2960294,0
2019-11-18,67.58,68.12,66.13,66.26,2471586,0
2019-11-19,66.47,67.51,65.38,67.35,2655820,0
2019-11-20,67.27,67.27,65.09,65.63,2986928,0
2019-11-21,65.30,66.05,64.41,64.83,2559561,0
2019-11-22,64.83,66.20,62.76,63.29,3265558,0
2019-11-25,63.35,63.47,60.74,61.41,3611223,0
2019-11-26,61.58,62.41,59.98,60.88,2816599,0
2019-11-27,60.30,61.80,60.27,61.22,2305242,0
2019-11-28,61.51,61.94,60.66,60.82,1471873,0
2019-11-29,61.43,62.00,60.82,61.72,2046395,0
2019-12-02,61.33,62.12,61.03,61.71,2219478,0
2019-12-03,61.11,62.22,60.75,61.96,1716523,0
2019-12-04,61.42,61.77,60.71,61.14,1649719,0
2019-12-05,61.35,62.81,61.11,62.02,3206044,0
2019-12-06,62.71,63.87,61.51,62.31,3484102,0
2019-12-09,61.99,65.33,61.87,64.64,5301260,0
2019-12-10,64.12,64.48,62.74,63.90,3236777,0
2019-12-11,63.64,64.24,63.05,64.24,2661490,0
2019-12-12,64.21,65.89,63.47,64.60,3701074,0
2019-12-13,65.24,66.08,64.34,65.68,3920604,0
2019-12-16,65.78,67.82,65.04,67.43,4184002,0
2019-12-17,67.43,68.45,66.63,67.93,2899062,0
2019-12-18,67.75,68.49,67.27,67.39,2837589,0
2019-12-19,67.27,68.55,67.26,68.04,2390775,0
2019-12-20,68.23,68.49,66.37,67.05,2425578,0
2019-12-23,66.92,67.78,65.37,66.15,2643353,0
2019-12-24,66.15,67.42,64.76,65.47,2589308,0
2019-12-25,65.36,67.48,64.95,66.95,2634611,0
2019-12-26,66.81,68.12,66.40,67.40,1852262,0
2019-12-27,68.09,68.19,65.21,65.52,2260110,0
2019-12-30,65.36,65.46,63.19,64.50,3354061,0
2019-12-31,64.50,65.99,63.45,63.64,2178301,0
2020-01-02,64.59,64.60,63.16,64.02,3959797,0
2020-01-03,64.16,64.60,62.76,62.96,4185711,0
2020-01-06,62.45,64.86,61.43,64.24,5089772,0
2020-01-07,64.27,68.94,64.27,68.35,7688449,0
2020-01-08,68.84,72.62,67.68,70.95,7755161,0
2020-01-09,71.54,71.88,69.86,70.29,3830362,0
2020-01-10,70.86,73.90,69.87,72.63,5964752,0
2020-01-13,71.91,73.36,71.18,72.46,3118055,0
2020-01-14,72.89,73.46,71.27,72.54,3724422,0
2020-01-15,72.60,73.34,71.60,72.53,2647757,0
2020-01-16,72.91,74.06,71.82,72.59,2407921,0
2020-01-17,73.05,75.20,71.75,74.04,4634228,0
2020-01-20,74.04,75.09,72.91,74.14,3640056,0
2020-01-21,74.03,75.28,71.21,72.38,3546094,0
2020-01-22,71.16,75.23,69.86,74.58,4467204,0
2020-01-23,73.78,74.74,70.58,71.46,3665030,0
2020-02-03,64.31,65.04,64.31,64.31,1675800,0
2020-02-04,62.45,67.24,62.45,66.36,3657460,0
2020-02-05,66.74,68.67,63.44,64.48,7411490,0
2020-02-06,64.08,64.08,61.78,63.57,8722980,0
2020-02-07,63.47,64.63,62.02,64.48,6626703,0
2020-02-10,63.90,65.59,63.03,64.64,5745874,0
2020-02-11,64.85,66.95,64.05,66.37,6286322,0
2020-02-12,66.52,67.32,65.12,67.16,7086451,0
2020-02-13,67.27,67.81,65.88,66.72,5965016,0
2020-02-14,66.20,69.35,65.68,67.90,7759114,0
2020-02-17,68.22,70.99,67.55,70.87,7810067,0
2020-02-18,70.73,72.28,70.42,72.18,6132924,0
2020-02-19,71.92,73.78,70.71,70.95,6710507,0
2020-02-20,71.60,73.01,70.87,72.69,6050156,0
