datetime,open,high,low,close,volume
2019-12-15,45.11,47.55,44.34,46.07,143978214
2019-12-22,46.33,46.97,44.34,45.43,116157520
2019-12-29,45.62,49.80,45.56,48.26,144631319
2020-01-05,48.19,49.35,46.52,48.96,120126960
2020-01-12,49.03,49.80,47.10,47.23,74198855
2020-01-19,47.10,47.23,43.76,44.14,94595621
2020-02-02,39.71,40.93,37.07,40.03,114119773
2020-02-09,40.03,45.36,39.39,45.30,170110070
2020-02-16,45.43,45.94,43.18,43.50,126207487
2020-02-23,43.44,44.21,41.06,41.70,174438176
2020-03-01,42.15,45.88,41.96,44.01,190079709
2020-03-08,42.92,43.56,39.32,41.06,128751328
2020-03-15,41.19,41.25,36.63,38.42,101820251
2020-03-22,36.75,40.87,36.63,40.35,81464312
2020-03-29,39.52,40.42,38.30,38.68,75494680
2020-04-05,39.26,40.16,38.87,39.45,65460804
2020-04-12,39.45,40.42,38.81,39.58,68359080
2020-04-19,39.58,39.77,35.85,36.05,153315266
2020-04-26,36.11,37.40,35.21,37.40,105571055
2020-05-03,36.63,36.88,35.34,35.98,124715517
2020-05-10,36.37,36.50,34.50,34.63,104976702
2020-05-17,34.89,34.89,32.32,32.38,115025208
2020-05-24,32.45,33.61,32.38,32.90,75884109
2020-05-31,32.83,34.95,32.58,33.35,162116555
2020-06-07,33.54,34.18,32.13,32.71,108349004
2020-06-14,32.64,35.28,32.45,34.63,168237094
2020-06-21,34.63,35.60,33.48,34.95,142388515
2020-06-28,35.21,39.32,33.99,38.62,303492938
2020-07-05,39.29,42.47,38.62,39.22,339646230
2020-07-12,39.36,40.51,36.46,36.93,210770786
2020-07-19,37.27,38.82,36.19,36.25,134703360
2020-07-26,36.46,36.86,35.31,36.12,103612964
2020-08-02,36.39,37.27,35.24,35.51,120736926
2020-08-09,35.65,37.00,35.38,36.86,120053893
2020-08-16,37.00,38.14,36.25,36.66,116037962
2020-08-23,36.66,37.20,35.04,36.46,86684724
2020-08-30,36.79,38.01,35.71,36.05,101901489
2020-09-06,36.05,37.60,35.38,36.32,133430796
2020-09-13,36.39,38.82,35.85,38.55,189598487
2020-09-20,38.35,38.75,34.57,34.70,144519276
2020-09-27,34.63,35.24,33.82,33.96,66057023
2020-10-04,34.30,34.77,34.16,34.36,19747846
2020-10-11,34.36,35.58,34.30,34.77,91455977
2020-10-18,34.84,35.31,33.89,34.57,77521586
2020-10-25,34.43,34.57,33.22,33.28,66458897
2020-11-01,33.62,34.50,33.42,34.23,87996276
2020-11-08,34.23,34.97,33.35,33.55,117088544
2020-11-15,33.62,35.44,33.55,34.77,117640458
2020-11-22,34.70,35.31,34.23,35.11,84950443
2020-11-29,35.24,36.12,34.09,34.36,149242717
2020-12-06,34.30,34.36,32.81,33.15,82677226
2020-12-13,33.22,33.49,32.41,32.54,66407049
2020-12-20,32.54,32.68,30.92,31.26,89066804
2020-12-27,31.26,32.68,30.65,31.26,105597964
2021-01-03,31.19,31.19,29.10,29.98,124211351
2021-01-10,29.98,30.92,29.17,30.45,103711347
2021-01-17,30.38,31.93,29.50,29.77,119191468
2021-01-24,29.57,29.57,28.56,28.76,59364954
