<DTYYYYMMDD>_<TIME>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2001-01-03 00:31:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-03 00:32:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-03 00:33:00,EURUSD,0.9507,0.9507,0.9506,0.9506,4
2001-01-03 00:34:00,EURUSD,0.9506,0.9506,0.9506,0.9506,4
2001-01-03 00:35:00,EURUSD,0.9506,0.9506,0.9506,0.9506,4
2001-01-03 00:36:00,EURUSD,0.9506,0.9506,0.9506,0.9506,4
2001-01-03 00:37:00,EURUSD,0.9506,0.9506,0.9506,0.9506,4
2001-01-03 00:38:00,EURUSD,0.9506,0.9507,0.9506,0.9507,4
2001-01-03 00:39:00,EURUSD,0.9506,0.9507,0.9506,0.9507,4
2001-01-03 00:40:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-03 00:41:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-03 00:42:00,EURUSD,0.9507,0.9507,0.9506,0.9506,4
2001-01-03 00:43:00,EURUSD,0.9506,0.9506,0.9506,0.9506,4
2001-01-03 00:44:00,EURUSD,0.9506,0.9506,0.95,0.95,4
2001-01-03 00:45:00,EURUSD,0.95,0.95,0.95,0.95,4
2001-01-03 00:46:00,EURUSD,0.95,0.95,0.95,0.95,4
2001-01-03 00:47:00,EURUSD,0.95,0.95,0.9498,0.9498,4
2001-01-03 00:48:00,EURUSD,0.9498,0.9498,0.9496,0.9496,4
2001-01-03 00:49:00,EURUSD,0.9495,0.9495,0.9495,0.9495,4
2001-01-03 00:50:00,EURUSD,0.9495,0.9496,0.9495,0.9496,4
2001-01-03 00:51:00,EURUSD,0.9496,0.9496,0.9496,0.9496,4
2001-01-03 00:52:00,EURUSD,0.9496,0.9496,0.9496,0.9496,4
2001-01-03 00:53:00,EURUSD,0.9495,0.9495,0.9495,0.9495,4
2001-01-03 00:54:00,EURUSD,0.9494,0.9494,0.9492,0.9492,4
2001-01-03 00:55:00,EURUSD,0.9492,0.9493,0.9492,0.9493,4
2001-01-03 00:56:00,EURUSD,0.9493,0.9497,0.9493,0.9497,4
