index,return
2020-04-21,-4.0017883992327086e-05
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-27,0.0
2020-04-28,-3.0014614115558835e-05
2020-04-29,0.00028014480685056853
2020-04-30,2.000473912278089e-05
2020-05-06,-0.0001700368809994801
2020-05-07,-1.0003870497543588e-05
2020-05-08,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,4.001588230373443e-05
2020-05-21,-8.002856219380128e-05
2020-05-22,-3.001311272898821e-05
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,0.00017007941007651795
2020-05-29,4.001187952695773e-05
2020-06-01,8.00205572810686e-05
2020-06-02,3.000530793895173e-05
2020-06-03,2.0002938431629147e-05
2020-06-04,-6.000761496638418e-05
2020-06-05,4.000747739763e-05
2020-06-08,-3.000440764744372e-05
2020-06-09,1.000176931298391e-05
2020-06-10,-0.0001300217006218185
2020-06-11,0.0
2020-06-12,0.0
2020-06-15,0.0
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,8.00237590541375e-05
2020-06-19,0.00011002386417624521
2020-06-22,-6.0006414685731535e-05
2020-06-23,-7.001168495024412e-05
2020-06-24,6.0014217368120626e-05
2020-06-29,-6.001061587790346e-05
2020-06-30,1.0002369561279423e-05
2020-07-01,0.0001600363122391535
2020-07-02,0.00031002074038744
2020-07-03,0.00013996597427157198
2020-07-06,0.0010096132171764083
2020-07-07,-8.987479542255095e-05
