ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399997.SZ,20160505,3005.307,2992.261,3014.636,2969.279,2992.677,12.63,0.422,1399359.99,3820656.75
399997.SZ,20160506,2903.427,2997.98,2999.166,2903.427,3005.307,-101.88,-3.39,1415254.51,4182992.409
399997.SZ,20160509,2901.779,2898.032,2927.434,2883.299,2903.427,-1.648,-0.0568,1476857.59,4080690.94
399997.SZ,20160510,2920.772,2887.244,2957.924,2868.25,2901.779,18.993,0.6545,1506389.45,4416780.881
399997.SZ,20160511,2978.612,2927.842,3048.871,2921.822,2920.772,57.84,1.9803,2049587.35,6125034.385
399997.SZ,20160512,2962.826,2934.554,2976.028,2872.649,2978.612,-15.786,-0.53,1081660.65,3209006.156
399997.SZ,20160513,2950.703,2953.083,3040.185,2930.533,2962.826,-12.123,-0.4092,1088049.39,3416527.23
399997.SZ,20160516,2978.709,2931.814,2979.443,2890.766,2950.703,28.006,0.9491,1049287.86,3072494.011
399997.SZ,20160517,2941.492,3018.366,3018.366,2938.287,2978.709,-37.217,-1.2494,1428197.6,3766406.004
399997.SZ,20160518,2892.992,2920.673,2952.005,2853.666,2941.492,-48.5,-1.6488,1125598.58,3332353.073
399997.SZ,20160519,2872.77,2891.373,2919.291,2861.95,2892.992,-20.222,-0.699,860506.54,2453558.442
399997.SZ,20160520,2912.738,2864.894,2913.101,2854.305,2872.77,39.968,1.3913,863677.54,2612319.085
399997.SZ,20160523,2954.382,2904.977,2954.997,2903.738,2912.738,41.644,1.4297,987730.29,2755070.112
399997.SZ,20160524,2889.673,2948.585,2948.585,2881.67,2954.382,-64.709,-2.1903,775601.61,1989119.675
399997.SZ,20160525,2863.005,2906.58,2913.486,2858.448,2889.673,-26.668,-0.9229,790048.91,2231278.933
399997.SZ,20160526,2852.548,2864.054,2877.371,2808.962,2863.005,-10.457,-0.3652,793097.4,2189355.947
399997.SZ,20160527,2865.181,2849.467,2877.727,2848.268,2852.548,12.633,0.4429,673035.31,1890383.052
399997.SZ,20160530,2868.035,2853.876,2878.724,2828.969,2865.181,2.854,0.0996,623918.01,2195910.267
399997.SZ,20160531,2968.941,2873.472,2971.624,2873.035,2868.035,100.906,3.5183,1164011.6,4145920.221
399997.SZ,20160601,2971.331,2968.874,2992.083,2964.067,2968.941,2.39,0.0805,1005536.78,3170630.537
399997.SZ,20160602,3015.817,2972.459,3015.817,2971.081,2971.331,44.486,1.4972,1038366.13,3079496.583
399997.SZ,20160603,3144.075,3013.498,3184.137,3010.829,3015.817,128.258,4.2528,2324794.61,7504622.143
399997.SZ,20160606,3128.661,3146.743,3147.945,3099.875,3144.075,-15.414,-0.4903,1332550.75,4342527.804
399997.SZ,20160607,3166.701,3125.174,3167.309,3118.354,3128.661,38.04,1.2159,1194174.45,3454819.863
399997.SZ,20160608,3109.191,3160.642,3160.642,3095.945,3166.701,-57.51,-1.8161,1028628.08,3176004.715
399997.SZ,20160613,3013.291,3072.299,3135.375,3013.012,3109.191,-95.9,-3.0844,1136737.3,3665340.59
