date,time,open,high,low,close
20160422,160000,905.27002,905.53003,898.0399800000001,898.0399800000001
20160425,90000,897.3499800000002,899.3400300000002,897.3499800000002,899.0200199999998
20160425,100000,899.0900300000002,899.7000099999998,896.73999,898.63
20160425,110000,898.5300300000001,899.9199800000001,897.3200099999998,897.9500099999998
20160425,120000,897.64001,898.64001,895.87,898.51001
20160425,140000,897.5300300000001,898.0900300000002,893.81,895.2199699999999
20160425,150000,895.2700199999998,896.8300199999999,894.4099699999998,896.3400300000002
20160425,160000,895.9699699999999,896.35999,894.2800300000001,895.7700199999998
20160426,90000,894.9500099999998,895.39001,894.5900300000002,894.9099699999998
20160426,100000,894.76001,897.7999900000002,892.5499900000002,892.8200099999998
20160426,110000,893.2299800000002,895.5999800000002,893.0700099999998,894.75
20160426,120000,894.7199699999999,896.01001,894.2899800000001,895.7700199999998
20160426,140000,898.9299900000002,900.38,897.44,898.3400300000002
20160426,150000,898.4199800000001,905.29999,898.4199800000001,902.52002
20160426,160000,902.44,903.90002,900.60999,903.04999
20160427,90000,904.79999,906.09998,904.79999,906.09998
20160427,100000,905.12,905.73999,901.46997,902.13
20160427,110000,902.73999,903.16998,898.9600199999999,900.2800300000001
20160427,120000,900.35999,901.19,896.35999,896.73999
20160427,140000,896.48999,898.14001,895.06,897.4299900000002
20160427,150000,897.37,900.4600199999999,895.76001,897.19
20160427,160000,898.0300300000001,898.19,895.0,897.1599699999998
20160428,90000,900.90997,902.33002,900.90997,901.87
20160428,100000,902.29999,902.84003,888.26001,892.31
20160428,110000,892.0800199999999,893.9699699999999,890.0499900000002,892.5399800000001
20160428,120000,892.13,892.13,889.5399800000001,891.13
20160428,140000,889.2000099999998,890.89001,888.2700199999998,890.63
20160428,150000,890.06,890.8300199999999,885.2899800000001,887.8499800000002
20160428,160000,888.39001,890.14001,886.6500199999998,887.5300300000001
20160429,90000,887.5,888.3499800000002,887.5,887.87
20160429,100000,887.64001,887.85999,885.0,887.14001
20160429,110000,886.7800300000001,887.75,884.38,884.9099699999998
20160429,120000,884.8300199999999,885.4799800000002,883.0900300000002,884.13
20160429,140000,886.2000099999998,886.9500099999998,883.3499800000002,886.2000099999998
20160429,150000,886.2000099999998,888.01001,885.0800199999999,885.85999
20160429,160000,885.9500099999998,891.8300199999999,885.7700199999998,891.8300199999999
20160503,90000,890.8499800000002,891.60999,890.8300199999999,891.48999
20160503,100000,891.26001,891.5,888.4299900000002,890.2999900000002
20160503,110000,890.1699800000001,895.56,890.0300300000001,894.1699800000001
20160503,120000,893.4199800000001,894.56,892.73999,893.4600199999999
20160503,140000,893.69,894.37,890.9500099999998,890.9600199999999
20160503,150000,891.31,891.48999,886.4099699999998,886.5
20160503,160000,886.64001,888.98999,885.9600199999999,886.63
20160504,90000,882.4000199999998,882.7899800000001,882.4000199999998,882.62
20160504,100000,882.6599699999998,883.0999800000002,879.26001,880.3499800000002
20160504,110000,880.1500199999998,881.7299800000002,879.25,879.8499800000002
20160504,120000,879.9699699999999,882.0399800000001,879.7199699999999,880.69
20160504,140000,881.12,881.7800300000001,879.69,880.5800199999999
20160504,150000,880.7100199999999,881.3200099999998,877.38,877.8300199999999
20160504,160000,877.39001,882.1500199999998,877.39001,882.1500199999998
20160509,90000,882.5800199999999,883.3499800000002,882.5800199999999,883.3200099999998
20160509,100000,881.64001,882.85999,878.73999,882.62
20160509,110000,882.4000199999998,883.10999,879.2700199999998,880.2000099999998
20160509,120000,880.13,881.2199699999999,877.85999,879.0999800000002
20160509,140000,879.01001,879.7299800000002,877.0999800000002,879.35999
20160509,150000,879.1500199999998,886.35999,878.0900300000002,886.0300300000001
20160509,160000,886.1699800000001,886.9600199999999,883.89001,886.9600199999999
20160510,90000,880.8300199999999,880.8300199999999,880.8300199999999,880.8300199999999
20160510,100000,880.4600199999999,882.10999,877.7800300000001,881.2299800000002
20160510,110000,881.38,883.5900300000002,879.35999,880.01001
20160510,120000,880.01001,880.9500099999998,879.0499900000002,879.9600199999999
20160510,140000,883.4799800000002,884.9500099999998,881.64001,882.0800199999999
20160510,150000,881.7000099999998,883.7199699999999,880.31,883.0200199999998
20160510,160000,883.26001,884.75,882.1599699999998,882.85999
20160511,90000,882.9299900000002,885.1699800000001,882.7100199999999,884.94
20160511,100000,885.0399800000001,885.13,880.5700099999998,882.25
20160511,110000,882.3300199999999,883.5399800000001,879.76001,881.75
20160511,120000,881.73999,883.26001,880.63,882.23999
20160511,140000,881.8300199999999,882.0700099999998,879.5,881.1799900000002
20160511,150000,880.7199699999999,880.9600199999999,875.0200199999998,876.0999800000002
20160511,160000,876.3499800000002,878.23999,874.5399800000001,874.5399800000001
20160512,90000,877.2100199999999,877.9000199999998,877.2100199999999,877.9000199999998
20160512,100000,878.2100199999999,880.1799900000002,877.7000099999998,879.0499900000002
20160512,110000,878.9799800000002,879.38,876.23999,877.0
20160512,120000,876.94,879.64001,876.9199800000001,878.56
20160512,140000,878.69,881.7100199999999,877.76001,881.3400300000002
20160512,150000,881.35999,884.7299800000002,880.23999,884.26001
20160512,160000,884.2899800000001,890.37,883.8400300000002,890.37
20160513,90000,890.5999800000002,890.7100199999999,890.5,890.6699800000001
20160513,100000,891.01001,894.3499800000002,887.1799900000002,893.7899800000001
20160513,110000,894.0900300000002,894.44,890.60999,892.7000099999998
20160513,120000,892.7700199999998,893.0700099999998,889.6699800000001,890.4699699999999
20160513,140000,889.35999,889.5,886.4000199999998,887.0999800000002
20160513,150000,887.7199699999999,890.7199699999999,887.0800199999999,887.2800300000001
20160513,160000,887.7000099999998,888.9299900000002,885.8300199999999,885.9000199999998
20160516,90000,893.5999800000002,893.87,892.9600199999999,893.87
20160516,100000,893.81,896.2999900000002,892.85999,894.5700099999998
20160516,110000,894.6699800000001,894.6699800000001,890.5700099999998,891.8499800000002
20160516,120000,890.7800300000001,891.38,887.73999,887.7800300000001
20160516,140000,888.2199699999999,890.0499900000002,886.2700199999998,889.7800300000001
20160516,150000,890.26001,890.7100199999999,886.7299800000002,886.7299800000002
20160516,160000,887.06,890.37,886.7000099999998,889.0200199999998
20160517,90000,896.8400300000002,898.5200199999998,896.8400300000002,898.0
20160517,100000,897.9299900000002,899.12,894.94,896.75
20160517,110000,897.4799800000002,897.7299800000002,895.5,896.6799900000002
20160517,120000,896.38,898.8499800000002,895.4799800000002,898.7299800000002
20160517,140000,900.0,902.84003,900.0,901.83002
20160517,150000,902.37,903.41998,900.25,900.85999
20160517,160000,900.25,900.4299900000002,897.4699699999999,899.4699699999999
20160518,90000,899.8499800000002,901.42999,899.8499800000002,901.35999
20160518,100000,901.81,902.53003,895.2800300000001,897.19
20160518,110000,897.1500199999998,900.96002,896.89001,898.4699699999999
20160518,120000,898.2000099999998,900.39001,897.23999,899.94
20160518,140000,899.26001,899.38,894.25,895.2899800000001
20160518,150000,895.01001,898.23999,894.7100199999999,898.14001
20160518,160000,898.0,898.10999,894.9299900000002,894.9299900000002
20160519,90000,895.01001,895.01001,893.6699800000001,894.0399800000001
20160519,100000,894.5499900000002,894.87,889.23999,890.10999
