Date,Open,High,Low,Close,SP,Chg,%Chg,Vol,OI
2018-05-11,1156.4,1169.3,1154.9,1166.9,1167.1,13.7,1.19%,568,3096
2018-05-14,1168.7,1173.2,1168.3,1171.6,1171.6,4.5,0.39%,142,3111
2018-05-15,1170.9,1170.9,1163.3,1168.2,1168.2,-3.4,-0.29%,274,3174
2018-05-16,1162.2,1164.4,1154,1155.5,1155.5,-12.7,-1.09%,575,3218
2018-05-17,1157.6,1162,1152.9,1156.5,1158.1,2.6,0.23%,475,3261
2018-05-18,1157.4,1161.8,1155,1161.7,1161.7,3.6,0.31%,255,3283
2018-05-21,1164.8,1171,1164.8,1169.4,1169.4,7.7,0.66%,330,3302
2018-05-22,1169,1170.4,1162.6,1164.2,1164,-5.4,-0.46%,398,3356
2018-05-23,1160,1163,1153.5,1153.5,1155.1,-8.9,-0.76%,736,3413
2018-05-24,1154.1,1154.1,1139,1143,1142.6,-12.5,-1.08%,634,3537
2018-05-25,1143.9,1147,1139,1146.5,1146.5,3.9,0.34%,499,3565
2018-05-28,1143.4,1144,1139.5,1139.5,1139.8,-6.7,-0.58%,332,3652
2018-05-30,1130,1133.5,1124.8,1129.5,1129.9,-9.9,-0.87%,703,3736
2018-05-31,1133.3,1140.8,1132,1135.9,1135.5,5.6,0.50%,579,3762
2018-06-01,1135.5,1136,1125,1125,1127,-8.5,-0.75%,408,3799
2018-06-04,1125,1133.5,1125,1131,1131,4,0.35%,365,3797
2018-06-05,1131,1143.8,1125.8,1143.2,1143.2,12.2,1.08%,605,3765
2018-06-06,1145.1,1146.9,1142.5,1144.7,1144.7,1.5,0.13%,305,3717
2018-06-07,1146.9,1150.1,1140.3,1141.5,1141.6,-3.1,-0.27%,399,3762
2018-06-08,1139,1140.8,1128.2,1128.5,1128.7,-12.9,-1.13%,503,3840
2018-06-11,1127,1134,1126,1133.5,1132.9,4.2,0.37%,424,3832
2018-06-12,1133.8,1139,1133.5,1133.5,1133.7,0.8,0.07%,469,3900
2018-06-13,1131.4,1132.3,1127.1,1129.9,1129.7,-4,-0.35%,403,3936
2018-06-14,1123.2,1125.6,1111,1118.3,1118.7,-11,-0.97%,1074,4023
2018-06-15,1118.5,1119,1109.4,1114,1114.6,-4.1,-0.37%,714,3998
2018-06-18,1105,1107.3,1094,1094,1094.9,-19.7,-1.77%,1130,4177
2018-06-19,1075,1092.1,1059.6,1059.6,1060.9,-34,-3.11%,2150,4528
2018-06-20,1066.5,1087.9,1066.5,1083,1083.1,22.2,2.09%,1578,4296
2018-06-21,1085.4,1085.4,1061,1066.4,1065.9,-17.2,-1.59%,1286,4304
2018-06-22,1068.2,1077,1062.1,1068,1067.7,1.8,0.17%,1149,4328
2018-06-25,1070,1074,1055.5,1057,1056.4,-11.3,-1.06%,892,4306
2018-06-26,1049,1066.2,1049,1059.9,1059.9,3.5,0.33%,1745,4423
2018-06-27,1062.8,1067.3,1051,1054.5,1054.8,-5.1,-0.48%,1184,4411
2018-06-28,1058.9,1059,1044,1045,1044.7,-10.1,-0.96%,1419,4545
2018-06-29,1048,1051.9,1038.8,1044.1,1044.6,-0.1,-0.01%,1946,4513
2018-07-02,1045.8,1050,1036.8,1049,1049.3,4.7,0.45%,1887,4606
2018-07-03,1047.5,1059.4,1043.9,1057.7,1058.1,8.8,0.84%,2695,4728
2018-07-04,1056.4,1062,1051,1058,1057.8,-0.3,-0.03%,1050,4656
2018-07-05,1057.7,1059.1,1043.1,1046.2,1046.1,-11.7,-1.11%,1617,4389
2018-07-06,1044.9,1057.2,1037.2,1054.3,1054,7.9,0.76%,2136,4318
2018-07-09,1060.8,1063,1056.5,1059.2,1059.7,5.7,0.54%,1251,4389
2018-07-10,1062.7,1074.7,1054,1073.9,1073.9,14.2,1.34%,2024,4403
2018-07-11,1068,1071.2,1064.3,1067.8,1067.8,-6.1,-0.57%,868,4463
2018-07-12,1067.8,1073.1,1066,1070.1,1070.1,2.3,0.22%,1045,4560
2018-07-13,1072.5,1073.9,1067.2,1069.1,1069.2,-0.9,-0.08%,653,4522
2018-07-16,1068.8,1068.8,1058.1,1061.4,1061.4,-7.8,-0.73%,1042,4569
2018-07-17,1059,1063.7,1055.5,1059.2,1059.4,-2,-0.19%,744,4565
2018-07-18,1062.1,1069.1,1061.9,1069,1068.4,9,0.85%,596,4571
2018-07-19,1070,1076.3,1067.7,1073.2,1072.8,4.4,0.41%,922,4390
2018-07-20,1072.3,1095.4,1072.3,1092.2,1091.7,18.9,1.76%,1980,4688
2018-07-23,1091.4,1103,1089.4,1096,1096.2,4.5,0.41%,1353,4650
2018-07-24,1100.1,1105,1091.5,1094.9,1094.9,-1.3,-0.12%,1136,4425
2018-07-25,1096,1113,1096,1108.6,1108.8,13.9,1.27%,1355,4364
2018-07-26,1112,1118,1105.7,1118,1117.7,8.9,0.80%,1061,4372
2018-07-31,1118,1121,1113.8,1120.5,1119.6,1.9,0.17%,1087,4533
2018-08-01,1121.5,1133.5,1120,1133.5,1133.1,13.5,1.21%,2447,4460
2018-08-02,1130,1130.5,1118.8,1121.6,1122.7,-10.4,-0.92%,1868,5150
2018-08-03,1123,1128.9,1121.2,1126,1126,3.3,0.29%,1245,4873
2018-08-06,1130,1130.8,1114.6,1118,1117.6,-8.4,-0.75%,1255,5045
2018-08-07,1117.6,1128.2,1113.6,1123.6,1123.4,5.8,0.52%,1420,5044
2018-08-08,1123.1,1136.8,1121.3,1135.3,1135.3,11.9,1.06%,1409,4872
2018-08-09,1136,1141.5,1132,1135.7,1135.8,0.5,0.04%,1273,4890
2018-08-10,1133,1133.6,1122.5,1125.2,1125.1,-10.7,-0.94%,1526,5329
2018-08-14,1116.5,1118.7,1108.3,1118,1118.3,-6.8,-0.60%,2322,5314
2018-08-15,1110.5,1114,1100.4,1101.9,1102,-16.3,-1.46%,1615,5589
2018-08-16,1099.1,1106.5,1096,1104.8,1104.8,2.8,0.25%,1228,5532
2018-08-17,1108,1112.5,1106,1106,1107.7,2.9,0.26%,1006,5476
2018-08-20,1113,1121.5,1113,1119.4,1119.4,11.7,1.06%,1193,5219
2018-08-21,1121.7,1122.3,1108.1,1111.9,1112.6,-6.8,-0.61%,1181,5279
2018-08-22,1115,1121.4,1113.1,1120,1119.5,6.9,0.62%,1068,5121
2018-08-23,1123,1125.6,1119.4,1123.6,1123.5,4,0.36%,822,5036
2018-08-24,1118.7,1122,1115.2,1121.9,1121.8,-1.7,-0.15%,563,5001
2018-08-27,1127.5,1133,1127.2,1132.6,1132.6,10.8,0.96%,574,4968
2018-08-28,1138.5,1138.5,1131.5,1132.9,1133,0.4,0.04%,1125,5033
2018-08-29,1133.8,1139.8,1131,1139.5,1139.2,6.2,0.55%,1085,4880
2018-08-30,1140,1140.2,1127.1,1127.7,1128.3,-10.9,-0.96%,1584,5528
2018-08-31,1126,1135.5,1125.5,1134,1134,5.7,0.51%,958,5446
2018-09-03,1131.8,1137.6,1130.5,1132.7,1132.5,-1.5,-0.13%,847,5437
2018-09-04,1133.1,1137.5,1123.2,1123.2,1123.9,-8.6,-0.76%,1885,5996
2018-09-05,1120.9,1124.2,1106.8,1108.1,1108.5,-15.4,-1.37%,2118,6441
2018-09-06,1108.5,1113.7,1103.5,1111.1,1111.3,2.8,0.25%,1536,6546
2018-09-07,1106.8,1111.9,1103.3,1109,1108.9,-2.4,-0.22%,1747,6890
2018-09-10,1105.3,1110.8,1101,1110.8,1110.5,1.6,0.14%,1318,7065
2018-09-11,1109,1111.2,1086,1086.2,1087.7,-22.8,-2.05%,2893,7373
2018-09-12,1088.1,1096.2,1086.2,1094.7,1094.8,7.1,0.65%,1713,7565
2018-09-13,1103,1132.8,1103,1126.8,1125.8,31,2.83%,3852,7255
2018-09-14,1133.5,1136.6,1127.5,1132.7,1132.3,6.5,0.58%,2580,7198
2018-09-17,1128.2,1130.5,1119.5,1125.3,1125.4,-6.9,-0.61%,2583,7195
2018-09-18,1125,1150.7,1121.4,1150.3,1149.8,24.4,2.17%,4479,6967
2018-09-19,1154.9,1164.3,1150,1152.6,1152.4,2.6,0.23%,5173,7258
2018-09-20,1155.5,1161.3,1153,1156,1155.7,3.3,0.29%,3364,7533
2018-09-21,1158.5,1166.6,1154.6,1156.7,1156.6,0.9,0.08%,4175,7999
