date,code,open,high,low,close,vol,PE,ROE,marketdays
2011-01-11,000016.SZ,47.61391284,49.44521718000001,47.10521719000001,48.73304327,9219730.0,54.6074104309082,2.1323,6864
2011-01-12,000016.SZ,48.834782399999995,49.34347805,48.22434762,49.03826066000001,7772599.000000001,54.94941711425781,2.1323,6865
2011-01-13,000016.SZ,49.13999979000001,49.24173892,48.73304327,48.93652153,5067167.0,54.83541488647461,2.1323,6866
2011-01-14,000016.SZ,48.834782399999995,48.834782399999995,47.71565197000001,47.8173911,6222457.0,53.58138275146485,2.1323,6867
2011-01-17,000016.SZ,47.61391284,47.71565197000001,45.7826085,45.98608676,8078439.999999999,51.52932739257813,2.1323,6870
2011-01-18,000016.SZ,45.98608676,46.39304328,45.68086937,46.18956502,4659646.0,51.7573356628418,2.1323,6871
2011-01-19,000016.SZ,46.29130415,47.003478060000006,46.08782589000001,46.799999799999995,6254003.0,52.44135284423828,2.1323,6872
2011-01-20,000016.SZ,46.69826067,46.799999799999995,44.86695633000001,44.86695633000001,6287344.0,50.27529525756836,2.1323,6873
2011-01-21,000016.SZ,45.07043459,45.88434763,44.76521720000001,45.27391285,5132105.0,50.73130798339844,2.1323,6874
2011-01-24,000016.SZ,45.27391285,46.29130415,44.96869546,45.37565198,6611585.000000001,50.84531021118164,2.1323,6877
2011-01-25,000016.SZ,45.27391285,45.57913024000001,44.56173894000001,44.86695633000001,5396410.0,50.27529525756836,2.1323,6878
2011-01-26,000016.SZ,44.86695633000001,45.57913024000001,44.76521720000001,45.37565198,4629032.0,50.84531021118164,2.1323,6879
2011-01-27,000016.SZ,45.17217372,45.98608676,44.96869546,45.7826085,6943953.999999999,51.30132293701172,2.1323,6880
2011-01-28,000016.SZ,46.08782589000001,46.18956502,45.57913024000001,46.08782589000001,5191026.0,51.643333435058594,2.1323,6881
2011-01-31,000016.SZ,45.98608676,46.39304328,45.68086937,46.18956502,4324380.0,51.7573356628418,2.1323,6884
2011-02-01,000016.SZ,46.18956502,46.39304328,45.88434763,46.29130415,3931117.0,51.871337890625,2.1323,6885
2011-02-09,000016.SZ,46.18956502,47.10521719000001,45.88434763,46.90173893000001,8103255.0,52.55535507202149,2.1323,6893
2011-02-10,000016.SZ,46.59652154000001,48.22434762,46.494782410000006,48.02086936,10411501.0,53.80938720703125,2.1323,6894
2011-02-11,000016.SZ,48.12260849000001,48.12260849000001,47.41043458000001,47.8173911,9362793.0,53.58138275146485,2.1323,6895
2011-02-14,000016.SZ,47.91913023,48.73304327,47.8173911,48.52956501,14231490.0,54.37940216064453,2.1323,6898
2011-02-15,000016.SZ,48.52956501,49.13999979000001,48.02086936,48.02086936,13041138.0,53.80938720703125,2.1323,6899
2011-02-16,000016.SZ,48.12260849000001,49.24173892,47.8173911,49.13999979000001,17052391.0,55.06341934204102,2.1323,6900
2011-02-17,000016.SZ,49.03826066000001,49.34347805,48.12260849000001,48.42782588,14432441.0,54.26539993286133,2.1323,6901
2011-02-18,000016.SZ,48.42782588,48.52956501,47.61391284,47.91913023,9730395.0,53.69538497924805,2.1323,6902
2011-02-21,000016.SZ,47.61391284,49.24173892,47.51217371,48.93652153,15223676.0,54.83541488647461,2.1323,6905
2011-02-22,000016.SZ,48.834782399999995,49.44521718000001,47.61391284,47.71565197000001,13333085.0,53.46738052368164,2.1323,6906
2011-02-23,000016.SZ,47.71565197000001,48.22434762,47.20695632,48.12260849000001,9236799.0,53.92338943481445,2.1323,6907
2011-02-24,000016.SZ,48.02086936,48.73304327,47.71565197000001,48.73304327,9876246.0,54.6074104309082,2.1323,6908
2011-02-25,000016.SZ,48.63130414000001,51.886956299999994,48.02086936,50.15739109,39080732.0,56.20344924926758,2.1323,6909
